| 9955         | 1.38971      | 2h 13m       |
| 9960         | 1.29509      | 2h 13m       |
| 9965         | 1.30348      | 2h 14m       |
| 9970         | 1.38694      | 2h 14m       |
| 9975         | 1.36795      | 2h 14m       |
| 9980         | 1.30692      | 2h 14m       |
| 9985         | 1.39768      | 2h 14m       |
| 9990         | 1.34666      | 2h 14m       |
| 9995         | 1.39763      | 2h 14m       |
| 10000        | 1.33024      | 2h 14m       |
| 10005        | 1.40972      | 2h 14m       |
| 10010        | 1.46456      | 2h 14m       |
| 10015        | 1.31442      | 2h 14m       |
| 10020        | 1.36657      | 2h 14m       |
| 10025        | 1.32154      | 2h 14m       |
| 10030        | 1.40164      | 2h 14m       |
| 10035        | 1.35627      | 2h 14m       |
| 10040        | 1.41124      | 2h 15m       |
| 10045        | 1.41917      | 2h 15m       |
| 10050        | 1.54482      | 2h 15m       |
| 10055        | 1.52466      | 2h 15m       |
| 10060        | 1.51066      | 2h 15m       |
| 10065        | 1.48022      | 2h 15m       |
| 10070        | 1.44138      | 2h 15m       |
| 10075        | 1.50296      | 2h 15m       |
| 10080        | 1.35309      | 2h 15m       |
| 10085        | 1.42692      | 2h 15m       |
| 10090        | 1.3901       | 2h 15m       |
| 10095        | 1.45924      | 2h 15m       |
| 10100        | 1.37716      | 2h 15m       |
| 10105        | 1.4636       | 2h 15m       |
| 10110        | 1.34665      | 2h 15m       |
| 10115        | 1.30566      | 2h 16m       |
| 10120        | 1.31568      | 2h 16m       |
| 10125        | 1.2767       | 2h 16m       |
| 10130        | 1.33123      | 2h 16m       |
| 10135        | 1.32856      | 2h 16m       |
| 10140        | 1.30974      | 2h 16m       |
| 10145        | 1.34638      | 2h 16m       |
| 10150        | 1.36218      | 2h 16m       |
| 10155        | 1.43896      | 2h 16m       |
| 10160        | 1.45692      | 2h 16m       |
| 10165        | 1.4033       | 2h 16m       |
| 10170        | 1.39993      | 2h 16m       |
| 10175        | 1.4384       | 2h 16m       |
| 10180        | 1.44999      | 2h 16m       |
| 10185        | 1.35215      | 2h 16m       |
| 10190        | 1.4479       | 2h 17m       |
| 10195        | 1.44172      | 2h 17m       |
| 10200        | 1.46836      | 2h 17m       |
| 10205        | 1.31626      | 2h 17m       |
| 10210        | 1.39708      | 2h 17m       |
| 10215        | 1.42258      | 2h 17m       |
| 10220        | 1.40048      | 2h 17m       |
| 10225        | 1.38752      | 2h 17m       |
| 10230        | 1.35681      | 2h 17m       |
| 10235        | 1.40244      | 2h 17m       |
| 10240        | 1.41031      | 2h 17m       |
| 10245        | 1.3337       | 2h 17m       |
| 10250        | 1.30904      | 2h 17m       |
| 10255        | 1.3018       | 2h 17m       |
| 10260        | 1.31017      | 2h 17m       |
| 10265        | 1.36978      | 2h 18m       |
| 10270        | 1.33777      | 2h 18m       |
| 10275        | 1.31174      | 2h 18m       |
| 10280        | 1.2933       | 2h 18m       |
| 10285        | 1.31822      | 2h 18m       |
| 10290        | 1.3191       | 2h 18m       |
| 10295        | 1.24757      | 2h 18m       |
| 10300        | 1.22052      | 2h 18m       |
| 10305        | 1.3052       | 2h 18m       |
| 10310        | 1.35215      | 2h 18m       |
| 10315        | 1.40246      | 2h 18m       |
| 10320        | 1.35984      | 2h 18m       |
| 10325        | 1.42206      | 2h 18m       |
| 10330        | 1.37271      | 2h 18m       |
| 10335        | 1.47645      | 2h 19m       |
| 10340        | 1.43255      | 2h 19m       |
| 10345        | 1.3781       | 2h 19m       |
| 10350        | 1.37916      | 2h 19m       |
| 10355        | 1.39343      | 2h 19m       |
| 10360        | 1.34577      | 2h 19m       |
| 10365        | 1.34082      | 2h 19m       |
| 10370        | 1.34662      | 2h 19m       |
| 10375        | 1.29111      | 2h 19m       |
| 10380        | 1.40775      | 2h 19m       |
| 10385        | 1.36933      | 2h 19m       |
| 10390        | 1.43137      | 2h 19m       |
| 10395        | 1.36647      | 2h 19m       |
| 10400        | 1.3489       | 2h 19m       |
| 10405        | 1.35252      | 2h 19m       |
| 10410        | 1.41063      | 2h 20m       |
| 10415        | 1.38894      | 2h 20m       |
| 10420        | 1.43463      | 2h 20m       |
| 10425        | 1.3755       | 2h 20m       |
| 10430        | 1.40727      | 2h 20m       |
| 10435        | 1.40091      | 2h 20m       |
| 10440        | 1.42428      | 2h 20m       |
| 10445        | 1.48515      | 2h 20m       |
| 10450        | 1.52988      | 2h 20m       |
| 10455        | 1.50778      | 2h 20m       |
| 10460        | 1.45         | 2h 20m       |
| 10465        | 1.39788      | 2h 20m       |
| 10470        | 1.38576      | 2h 20m       |
| 10475        | 1.397        | 2h 20m       |
| 10480        | 1.40474      | 2h 20m       |
| 10485        | 1.44192      | 2h 20m       |
